salesperson_id,sales_value,sales_date,sales_region,sales_channel,sales_quantity,customer_name,customer_email,customer_country
37,7484.86,1/15/2021,North America,Online,684,Darnell Logg,dlogg10@de.vu,Costa Rica
38,5860.89,9/25/2021,Europe,Distributor,609,Jacinthe Newgrosh,jnewgrosh11@1und1.de,Portugal
39,7078.07,3/11/2021,Asia,In-store,133,Ailina Kerwen,akerwen12@hatena.ne.jp,Indonesia
40,3005.16,12/4/2021,Europe,Online,763,Olivero Sutehall,osutehall13@github.io,Indonesia
41,2351.3,8/7/2021,Europe,Distributor,115,Vergil Bwy,vbwy14@tripod.com,Uganda
42,1158.59,10/28/2021,North America,Distributor,234,Bernardina Vischi,bvischi15@twitpic.com,Nicaragua
43,7108.62,10/15/2021,South America,Distributor,846,Jori Guerrin,jguerrin16@hostgator.com,Uganda
44,6130.87,1/21/2021,Asia,Direct sales,656,Sayer Trusty,strusty17@economist.com,Sweden
45,5039.45,7/1/2021,Africa,Direct sales,507,Cele Westlake,cwestlake18@oaic.gov.au,Philippines
46,1783.42,5/21/2021,South America,Direct sales,579,Wallas Holyland,wholyland19@wisc.edu,China
47,4907.83,7/27/2021,Europe,Distributor,239,Sully Aries,saries1a@slashdot.org,United Kingdom
48,4578.49,9/5/2021,Asia,Online,516,Ava Houldcroft,ahouldcroft1b@woothemes.com,Brazil
49,4755.69,1/7/2021,Africa,Distributor,60,Karlotte Pennyman,kpennyman1c@google.ca,Indonesia
50,9673.3,8/23/2021,South America,Direct sales,128,Traver Longland,tlongland1d@booking.com,China
51,352.6,11/15/2021,Africa,Online,493,Gleda Ralphs,gralphs1e@mapy.cz,China
52,9929.79,11/5/2021,Africa,Direct sales,146,Cristabel Stute,cstute1f@huffingtonpost.com,Indonesia
53,3891.89,7/25/2021,Europe,Direct sales,253,Egon Dormon,edormon1g@blogspot.com,China
54,4505.64,6/3/2021,North America,Distributor,666,Sharon Stoggles,sstoggles1h@nytimes.com,China
55,7390.56,1/19/2021,South America,Distributor,564,Florian Tripp,ftripp1i@hhs.gov,China
56,378.41,5/17/2021,South America,In-store,452,Flem Campaigne,fcampaigne1j@vistaprint.com,Russia
57,7281.19,10/31/2021,Asia,Online,265,Guillemette Orys,gorys1k@craigslist.org,Vietnam
58,6588.18,8/11/2021,Africa,Direct sales,183,Rafe Higgoe,rhiggoe1l@bbc.co.uk,Indonesia
59,3988.15,10/15/2021,Africa,In-store,817,Kalie Seed,kseed1m@etsy.com,Greece
60,2074.13,4/12/2021,North America,In-store,567,Gates Trustram,gtrustram1n@hostgator.com,Philippines
61,5769.49,4/4/2021,South America,Direct sales,459,Yetta Llewelly,yllewelly1o@tinypic.com,Mexico
62,4575.71,3/30/2021,North America,Direct sales,887,Misti Copping,mcopping1p@si.edu,Mexico
63,9758.37,5/10/2021,South America,Distributor,42,Barnebas Kensitt,bkensitt1q@yale.edu,Dominica
64,1168.76,3/25/2021,Africa,Distributor,759,Darice Postan,dpostan1r@indiatimes.com,Canada
65,5495.02,11/5/2021,Africa,Online,663,Morgen Brumby,mbrumby1s@simplemachines.org,Indonesia
66,5919.16,5/16/2021,North America,Distributor,820,Catrina Casin,ccasin1t@123-reg.co.uk,Indonesia
67,9920.26,8/1/2021,Europe,Direct sales,718,Stearne Starte,sstarte1u@uiuc.edu,Costa Rica
68,5712.45,4/9/2021,South America,Direct sales,930,Gabbi Iseton,giseton1v@de.vu,Chile
69,9595.02,6/7/2021,Europe,Direct sales,488,Danika Fairs,dfairs1w@abc.net.au,Uzbekistan
70,3558.13,2/17/2021,Asia,Direct sales,985,Care Braunton,cbraunton1x@multiply.com,China
71,8573.41,6/28/2021,Africa,Direct sales,719,Garrott Shoebottom,gshoebottom1y@mediafire.com,China
72,2854.71,7/2/2021,South America,Online,392,Vern Weavers,vweavers1z@google.com,Indonesia
73,9132.43,5/16/2021,Europe,In-store,824,Avril McAirt,amcairt20@photobucket.com,Russia
74,1943.27,5/7/2021,Asia,In-store,204,Frieda Tomasz,ftomasz21@example.com,Indonesia
75,5684.66,7/17/2021,South America,Distributor,825,Ode Pettegre,opettegre22@cdc.gov,Armenia
76,6608.83,8/29/2021,South America,Online,911,Glennis Chappell,gchappell23@nps.gov,Canada
77,8634.44,6/20/2021,Europe,Online,459,Jonie Buglass,jbuglass24@ning.com,Indonesia
78,2492.56,1/14/2021,Asia,Distributor,256,Melba Heinsius,mheinsius25@hatena.ne.jp,Poland
79,9167.81,4/13/2021,Asia,In-store,569,Prescott Rhys,prhys26@liveinternet.ru,Brazil
80,3243.27,6/11/2021,Africa,Online,139,Clary Pottage,cpottage27@multiply.com,Egypt
81,622.38,2/19/2021,North America,Online,771,Morton O'Hallagan,mohallagan28@cisco.com,Botswana
82,5197.97,8/26/2021,Asia,In-store,118,Muhammad Espasa,mespasa29@sphinn.com,China
83,4038.51,10/6/2021,Asia,Distributor,140,Godiva Garrad,ggarrad2a@nymag.com,China
84,4723.38,8/10/2021,Europe,Direct sales,786,Llywellyn Kensit,lkensit2b@woothemes.com,Sweden
85,9243.85,1/14/2021,North America,Online,518,Dix Dulson,ddulson2c@ucsd.edu,Nepal
86,1026.33,3/19/2021,South America,Direct sales,145,Rodolphe Caccavella,rcaccavella2d@yale.edu,China
87,7646.3,2/7/2021,Asia,Distributor,292,Ginger Burgot,gburgot2e@behance.net,Poland
88,4400.91,4/5/2021,North America,Direct sales,783,Arabella Goudy,agoudy2f@tinypic.com,South Sudan
89,5565.35,2/22/2021,South America,In-store,482,Penelopa Bagnall,pbagnall2g@examiner.com,China
90,4045.55,2/21/2021,South America,Online,184,Laura Upham,lupham2h@columbia.edu,China
91,2651.35,7/23/2021,North America,Distributor,651,Annora Stoppard,astoppard2i@sciencedirect.com,Finland
92,4746.58,12/10/2021,Africa,In-store,268,Berri Benzie,bbenzie2j@vistaprint.com,Russia
93,5041.08,4/17/2021,North America,Distributor,28,Julie Ivamy,jivamy2k@google.com.au,Russia
94,7963.79,12/14/2021,Africa,Online,18,Dorey Tomaselli,dtomaselli2l@amazonaws.com,Russia
95,41.24,7/25/2021,Asia,In-store,898,Fayina Lucy,flucy2m@jugem.jp,Mozambique
96,5285.9,5/5/2021,Europe,In-store,645,Tine Touson,ttouson2n@creativecommons.org,Finland
97,2404.15,5/23/2021,Europe,Direct sales,342,Alonzo Stormouth,astormouth2o@google.cn,Bahamas
98,4893.43,5/29/2021,Europe,In-store,76,Kiley Gatrell,kgatrell2p@blog.com,Malaysia
99,8437.2,12/9/2021,South America,Online,511,Alysa Constantine,aconstantine2q@thetimes.co.uk,China
100,7696.5,1/20/2021,Africa,Distributor,380,Kalle Clayson,kclayson2r@ucla.edu,Indonesia
101,7979.82,12/24/2021,South America,Direct sales,484,Vinnie Rand,vrand2s@si.edu,Greece
102,3165.85,4/15/2021,Europe,Distributor,482,Merna Ayton,mayton2t@cbsnews.com,China
103,6453.89,5/18/2021,Asia,Distributor,95,Katine Bushel,kbushel2u@skyrock.com,Poland
104,9239.76,2/16/2021,Europe,Direct sales,838,Gayla Shales,gshales2v@uol.com.br,Canada
105,7707.6,11/1/2021,South America,Direct sales,705,Kylynn Etienne,ketienne2w@ocn.ne.jp,United States
106,1401.17,3/26/2021,Asia,Online,798,Ike Rollo,irollo2x@loc.gov,Japan
107,4988.78,12/28/2021,North America,Distributor,380,Dell Conaghan,dconaghan2y@pcworld.com,France
108,7876.8,10/1/2021,Europe,In-store,1000,Guy Rumin,grumin2z@ow.ly,Chile
109,5303.71,12/22/2021,North America,Online,425,Carey Tice,ctice30@blinklist.com,China
110,2110.15,7/7/2021,South America,Online,453,Shane Schooley,sschooley31@pbs.org,Afghanistan
111,1945.83,8/6/2021,South America,Online,358,Charmion Connah,cconnah32@dailymotion.com,China
112,9778.87,5/6/2021,North America,Distributor,852,Rosalia Berntsson,rberntsson33@dailymotion.com,Sweden
113,2956.95,6/6/2021,Africa,Direct sales,700,Adan Phayre,aphayre34@1und1.de,Ukraine
114,909.25,8/3/2021,Europe,In-store,309,Dottie Cartmel,dcartmel35@google.co.uk,Brazil
115,7070.37,2/20/2021,Asia,In-store,769,Annadiana Scherer,ascherer36@amazon.de,Philippines
116,7440.83,11/1/2021,South America,Direct sales,841,Consolata Mixter,cmixter37@timesonline.co.uk,China
117,9023.38,9/5/2021,Africa,Online,311,Loralie Tolle,ltolle38@engadget.com,Syria
118,837.43,1/7/2021,South America,Direct sales,347,Jozef Colgan,jcolgan39@abc.net.au,Russia
119,7116.4,7/4/2021,Europe,Distributor,695,Edy Osanne,eosanne3a@bandcamp.com,China
120,1582.96,12/23/2021,North America,Direct sales,199,Ruth Devonish,rdevonish3b@etsy.com,Nigeria
121,5484.75,2/18/2021,Europe,Direct sales,111,Gherardo Harms,gharms3c@youku.com,Ireland
122,2946.75,4/16/2021,Asia,In-store,733,Shantee Lusted,slusted3d@fc2.com,Netherlands
123,3824.85,1/2/2021,Africa,Distributor,791,Enid Beeswing,ebeeswing3e@bloglines.com,Russia
124,5727.17,11/17/2021,South America,Distributor,381,Lauren Occleshaw,loccleshaw3f@360.cn,Portugal
125,2932.26,1/15/2021,Europe,Direct sales,765,Pierre Lodford,plodford3g@nydailynews.com,Palestinian Territory
126,8119.97,6/5/2021,South America,Distributor,932,Ardenia Ames,aames3h@typepad.com,Japan
127,4641.05,5/21/2021,South America,Direct sales,68,Jesus Dalby,jdalby3i@dedecms.com,Portugal
128,4985.0,8/9/2021,Africa,Distributor,374,Alexandrina Fernandez,afernandez3j@un.org,Kazakhstan
129,2919.91,6/19/2021,Europe,Online,415,Rudolph Gagg,rgagg3k@homestead.com,Thailand
130,9609.55,10/17/2021,Asia,Direct sales,144,Jerrold Lesmonde,jlesmonde3l@tumblr.com,Cameroon
131,3447.77,9/22/2021,South America,Distributor,191,Eberto Delamaine,edelamaine3m@jimdo.com,Canada
132,9226.82,5/20/2021,South America,Distributor,255,Lloyd Viner,lviner3n@imageshack.us,Brazil
133,7510.75,5/7/2021,Asia,Direct sales,498,Britni Webborn,bwebborn3o@irs.gov,Portugal
134,9905.49,9/4/2021,South America,Direct sales,14,Odille Tytcomb,otytcomb3p@shinystat.com,Peru
135,9844.81,5/10/2021,Asia,Distributor,947,Myrtice Robion,mrobion3q@woothemes.com,Somalia
136,5250.03,6/22/2021,Europe,Distributor,267,Morrie Masurel,mmasurel3r@mail.ru,China
137,3761.83,3/9/2021,Europe,Online,412,Wendall Kneebone,wkneebone3s@tinyurl.com,Cyprus
138,437.55,8/3/2021,North America,In-store,272,Wang Pinson,wpinson3t@delicious.com,Japan
139,8718.32,2/25/2021,South America,Distributor,416,Loralie Mayoh,lmayoh3u@squarespace.com,Czech Republic
140,7547.74,3/18/2021,Europe,Distributor,129,Aila Farrent,afarrent3v@sciencedaily.com,Mongolia
141,9608.97,10/3/2021,North America,Distributor,943,Shirlee McElrea,smcelrea3w@phoca.cz,Bolivia
142,7843.24,8/31/2021,Asia,In-store,814,Marabel Divisek,mdivisek3x@yellowpages.com,Iran
143,6956.33,2/14/2021,Africa,Distributor,618,Margaretta Hateley,mhateley3y@unesco.org,China
144,3158.56,10/29/2021,North America,In-store,845,Aguistin Wathan,awathan3z@businessweek.com,Sweden
145,5266.7,8/13/2021,Europe,Direct sales,751,Thomasa Van Son,tvan40@ifeng.com,China
146,3534.85,4/2/2021,Europe,Distributor,328,Genny Rubel,grubel41@goo.gl,Georgia
147,6733.62,3/7/2021,Asia,In-store,112,Gayler Lordon,glordon42@mac.com,Thailand
148,3959.57,6/30/2021,North America,Direct sales,663,Anastasia Sawle,asawle43@buzzfeed.com,Indonesia
149,3766.66,10/10/2021,North America,Direct sales,886,Lane Weir,lweir44@kickstarter.com,China
150,126.08,2/14/2021,Asia,Direct sales,975,Noella Ramsby,nramsby45@vistaprint.com,Indonesia
151,7761.25,4/9/2021,Europe,Direct sales,649,Deb Straun,dstraun46@meetup.com,Portugal
152,6495.58,3/18/2021,Africa,Online,469,Dare Pearce,dpearce47@berkeley.edu,Portugal
153,1470.46,4/10/2021,Asia,Online,211,Rubetta Staunton,rstaunton48@phoca.cz,China
154,6548.1,3/14/2021,North America,Direct sales,393,Monti Dinis,mdinis49@alibaba.com,China
155,441.26,1/14/2021,South America,Distributor,723,Edgardo Souch,esouch4a@newyorker.com,Poland
156,7057.09,1/27/2021,North America,In-store,860,Neddy Timlin,ntimlin4b@wordpress.org,South Africa
157,1946.47,11/4/2021,Asia,Distributor,153,Martie Busby,mbusby4c@youtu.be,Poland
158,5505.89,12/3/2021,Africa,Direct sales,596,Brittany Iglesias,biglesias4d@adobe.com,Myanmar
159,3521.95,8/26/2021,Africa,Direct sales,528,Raynor Fazan,rfazan4e@virginia.edu,Azerbaijan
160,4483.57,5/26/2021,North America,Distributor,470,Viv Ivery,vivery4f@opensource.org,Azerbaijan
161,7695.67,3/15/2021,North America,Online,661,Margareta Bonome,mbonome4g@rakuten.co.jp,China
162,6681.11,7/16/2021,Asia,In-store,705,Ario Beevors,abeevors4h@newsvine.com,Paraguay
163,5602.74,1/27/2021,Africa,Online,827,Dorrie Flay,dflay4i@angelfire.com,China
164,1585.34,3/27/2021,Africa,Online,140,Johnnie Hertwell,jhertwell4j@artisteer.com,China
165,5297.82,6/5/2021,Asia,Online,514,Kerrie Doddrell,kdoddrell4k@baidu.com,Japan
166,8835.8,9/22/2021,Africa,Direct sales,132,Bobinette Casin,bcasin4l@ifeng.com,Philippines
167,8032.28,4/13/2021,South America,In-store,105,Becki Keggin,bkeggin4m@technorati.com,China
168,3340.83,6/2/2021,Europe,Online,462,Robinet Fullerd,rfullerd4n@facebook.com,China
169,7801.74,10/27/2021,Europe,Direct sales,641,Esme Jodkowski,ejodkowski4o@umn.edu,United States
170,7944.94,8/16/2021,Africa,Distributor,793,Mira Mablestone,mmablestone4p@cnbc.com,Brazil
171,7105.03,10/3/2021,Asia,Online,298,Ludovika Caulcott,lcaulcott4q@aboutads.info,China
172,157.37,6/25/2021,Europe,In-store,867,Dotty De Brett,dde4r@chron.com,Guatemala
173,7068.36,11/2/2021,South America,Online,121,Sergei Goodier,sgoodier4s@unicef.org,China
174,3332.25,6/30/2021,Africa,Distributor,278,Nolana Oakenfull,noakenfull4t@fda.gov,Poland
175,8305.9,1/26/2021,South America,Distributor,184,Shela Bour,sbour4u@canalblog.com,Nicaragua
176,8391.06,4/22/2021,Europe,In-store,9,Axel Cure,acure4v@wiley.com,Yemen
177,6226.27,11/16/2021,Asia,In-store,51,Wandie Heibl,wheibl4w@salon.com,Poland
178,2904.2,2/10/2021,Europe,In-store,912,Halli Benjafield,hbenjafield4x@pcworld.com,China
179,2866.29,4/23/2021,North America,In-store,183,Kip Whilde,kwhilde4y@posterous.com,Philippines
180,9810.12,6/25/2021,Asia,Online,797,Rafaelia Ludovico,rludovico4z@godaddy.com,China
181,4579.47,2/9/2021,South America,Distributor,816,Salomo Fincham,sfincham50@marketwatch.com,Norway
182,6575.5,9/10/2021,Europe,Direct sales,952,Antonia Barlass,abarlass51@dedecms.com,China
183,8967.18,6/11/2021,North America,In-store,324,Donia Tebb,dtebb52@usatoday.com,Syria
184,5650.59,6/13/2021,South America,In-store,638,Bartie Goodredge,bgoodredge53@japanpost.jp,United States
185,1904.45,5/7/2021,North America,In-store,227,Cordie Galbreath,cgalbreath54@kickstarter.com,Zimbabwe
186,5892.37,4/4/2021,Asia,Online,884,Clemmie Lisamore,clisamore55@webs.com,Portugal
187,6900.61,4/30/2021,Asia,Online,786,Winifred Balmforth,wbalmforth56@forbes.com,Russia
188,6420.83,2/13/2021,South America,In-store,788,Faber Dainty,fdainty57@aboutads.info,Indonesia
189,3676.7,11/11/2021,South America,Distributor,34,Louisa Chasney,lchasney58@addthis.com,Yemen
190,1188.57,12/28/2021,South America,Distributor,503,Angele Wickes,awickes59@cbc.ca,Russia
191,5368.28,4/4/2021,Africa,Direct sales,504,Alex Mantha,amantha5a@tuttocitta.it,Czech Republic
192,3148.49,8/30/2021,South America,In-store,638,Layla Thornbarrow,lthornbarrow5b@fotki.com,Mongolia
193,4017.6,3/10/2021,South America,In-store,995,Lita Tredget,ltredget5c@angelfire.com,Tanzania
194,5388.83,2/27/2021,Europe,Online,7,Ozzy Longson,olongson5d@ehow.com,Colombia
195,520.46,11/25/2021,Europe,Online,414,Yovonnda Defrain,ydefrain5e@dagondesign.com,Indonesia
196,6741.18,5/11/2021,Europe,Online,951,Blondy Woodfine,bwoodfine5f@networksolutions.com,Ireland
197,6701.2,2/24/2021,Europe,Direct sales,677,Tadeas Crosdill,tcrosdill5g@apache.org,Papua New Guinea
198,655.95,4/1/2021,Africa,In-store,988,Hersch Gummie,hgummie5h@latimes.com,Ivory Coast
199,5415.96,11/1/2021,Europe,Online,709,Sarge Bernardotte,sbernardotte5i@archive.org,China
200,5061.81,4/14/2021,Europe,Distributor,988,Leigh Iston,liston5j@usa.gov,China
201,9135.33,7/2/2021,North America,In-store,372,Gordy Tomaszek,gtomaszek5k@vkontakte.ru,Serbia
202,8980.9,6/22/2021,Europe,Direct sales,151,Marrissa Dorrins,mdorrins5l@free.fr,China
203,7.51,12/11/2021,North America,Distributor,386,Doll MacSkeagan,dmacskeagan5m@loc.gov,Armenia
204,3439.07,2/23/2021,Asia,Direct sales,980,Victoir Clausner,vclausner5n@whitehouse.gov,Tunisia
205,7478.99,5/30/2021,Asia,In-store,972,Hakeem Crotty,hcrotty5o@latimes.com,China
206,3525.92,3/5/2021,Africa,Direct sales,646,Tessi McNeilly,tmcneilly5p@nymag.com,China
207,750.66,11/6/2021,North America,Online,72,Diann Funcheon,dfuncheon5q@google.com.au,China
208,661.46,8/8/2021,Africa,Direct sales,277,Blakelee Dyett,bdyett5r@creativecommons.org,China
209,3544.25,7/30/2021,North America,Direct sales,385,Suki Beaglehole,sbeaglehole5s@archive.org,Indonesia
210,3479.73,12/6/2021,South America,Direct sales,981,Ellene Hagstone,ehagstone5t@usda.gov,Poland
211,4797.93,9/7/2021,Africa,In-store,394,Blinny Verralls,bverralls5u@latimes.com,France
212,5531.39,1/21/2021,Europe,Online,56,Freeman Ciccottini,fciccottini5v@weibo.com,Indonesia
213,7502.49,2/28/2021,South America,Online,301,Stafford Chaize,schaize5w@irs.gov,China
214,1388.96,9/10/2021,North America,In-store,670,Lyndel Drury,ldrury5x@4shared.com,Colombia
215,7697.33,9/30/2021,Africa,Direct sales,371,Mozes Chatten,mchatten5y@joomla.org,Angola
216,7860.71,5/20/2021,Asia,Online,174,Ketti De Malchar,kde5z@discuz.net,China
217,1405.7,7/22/2021,Europe,In-store,213,Angy Starzaker,astarzaker60@alibaba.com,Indonesia
218,2003.33,11/29/2021,Africa,In-store,850,Tyne Lattos,tlattos61@paginegialle.it,Sweden
219,8085.36,9/16/2021,Asia,Direct sales,372,Jeremiah Gronaller,jgronaller62@bloglovin.com,Mongolia
220,3287.59,10/11/2021,North America,Direct sales,104,Melosa Guildford,mguildford63@plala.or.jp,Mexico
221,7703.7,7/30/2021,South America,In-store,982,Jeannie Tarver,jtarver64@tumblr.com,China
222,1688.43,12/13/2021,Europe,Direct sales,981,Selena Scarth,sscarth65@geocities.jp,France
223,9274.8,6/8/2021,South America,Distributor,531,Ron Fairburn,rfairburn66@over-blog.com,China
224,1839.91,9/15/2021,South America,Direct sales,304,Janis Kaye,jkaye67@mozilla.org,United States
225,5848.1,1/14/2021,North America,Online,4,Vern Olive,volive68@stanford.edu,Syria
226,171.93,10/26/2021,Africa,In-store,351,Katharyn Raiston,kraiston69@alexa.com,Argentina
227,1742.54,11/22/2021,Africa,In-store,294,Paulie Sterrie,psterrie6a@yellowpages.com,China
228,3164.93,5/24/2021,South America,In-store,510,Anallise Josefsohn,ajosefsohn6b@cdc.gov,Philippines
229,402.88,5/6/2021,North America,In-store,14,Hinze Baglan,hbaglan6c@deliciousdays.com,Brazil
230,3936.21,8/12/2021,Asia,Online,89,Merrile Messier,mmessier6d@samsung.com,Czech Republic
231,9973.55,6/23/2021,South America,Online,441,Anthe McTeggart,amcteggart6e@twitpic.com,Brazil
232,2635.12,9/11/2021,South America,Direct sales,20,Gennifer Snasdell,gsnasdell6f@opera.com,Croatia
233,6676.72,2/16/2021,North America,Direct sales,481,Muriel Collisson,mcollisson6g@nbcnews.com,Poland
234,9703.45,2/15/2021,South America,Online,65,Lissy Prinnett,lprinnett6h@mail.ru,China
235,6381.12,10/3/2021,North America,Distributor,27,Kent Ayrs,kayrs6i@spiegel.de,Thailand
236,4178.33,8/16/2021,Asia,Distributor,753,Eddy Nise,enise6j@wired.com,Indonesia
237,9708.75,12/17/2021,South America,Distributor,108,Jone Tobias,jtobias6k@ocn.ne.jp,Brazil
238,3444.35,1/24/2021,North America,Distributor,169,Ezechiel Huskinson,ehuskinson6l@taobao.com,Sweden
239,7315.35,6/22/2021,Africa,In-store,392,Tybie Coal,tcoal6m@nationalgeographic.com,Philippines
240,5173.98,6/20/2021,Europe,Direct sales,241,Alexis Peele,apeele6n@netscape.com,Sweden
241,3128.16,8/28/2021,Europe,Online,197,Kerstin Shervil,kshervil6o@ed.gov,Russia
242,6290.53,11/2/2021,South America,In-store,971,Eudora MacLaig,emaclaig6p@tuttocitta.it,Indonesia
243,248.17,11/9/2021,Asia,Online,57,Margeaux O Mullen,mo6q@phpbb.com,United States
244,7110.18,9/12/2021,South America,In-store,119,Wesley Seeman,wseeman6r@irs.gov,Chile
245,6244.29,5/5/2021,South America,Distributor,315,Crissie Turnbull,cturnbull6s@newyorker.com,Indonesia
246,254.3,9/13/2021,Africa,In-store,182,Joannes Blacklawe,jblacklawe6t@cbslocal.com,Philippines
247,1594.59,5/3/2021,Europe,Online,635,Tann Finnan,tfinnan6u@ibm.com,Portugal
248,4646.0,3/12/2021,Europe,Online,689,Forster Goulston,fgoulston6v@printfriendly.com,China
249,1670.9,11/24/2021,Africa,Online,827,Madlen Royans,mroyans6w@is.gd,Czech Republic
250,5146.9,2/23/2021,North America,In-store,107,Marj Tiddeman,mtiddeman6x@about.me,Czech Republic
251,3793.48,11/13/2021,Asia,Distributor,949,Persis Hildrew,phildrew6y@sakura.ne.jp,China
252,636.0,6/3/2021,South America,Online,121,Adrian Hutchason,ahutchason6z@altervista.org,Mexico
253,2461.09,4/6/2021,North America,Direct sales,499,Agosto Baruch,abaruch70@mediafire.com,Bosnia and Herzegovina
254,6921.62,9/18/2021,Asia,Distributor,549,Kilian Bernadon,kbernadon71@nbcnews.com,Malaysia
255,3679.32,2/15/2021,Europe,In-store,542,Joleen McKinna,jmckinna72@goodreads.com,France
256,6377.62,1/30/2021,North America,Direct sales,546,Lorettalorna Hawk,lhawk73@ow.ly,Sweden
257,473.34,9/22/2021,Asia,Direct sales,495,Raff Duligall,rduligall74@archive.org,Czech Republic
258,7816.71,8/29/2021,Europe,Direct sales,305,Raymond Bjerkan,rbjerkan75@g.co,Sweden
259,4325.26,9/9/2021,Asia,Distributor,627,Sollie Enrigo,senrigo76@dailymotion.com,China
260,4383.25,2/22/2021,North America,Online,199,Tammara Swain,tswain77@amazon.co.uk,France
261,7776.5,5/12/2021,Asia,In-store,856,Baxie Bagehot,bbagehot78@w3.org,Japan
262,6488.56,5/18/2021,Asia,Distributor,163,Bordy Tozer,btozer79@businessinsider.com,China
263,7001.26,6/10/2021,Africa,In-store,332,Rickie Gainsbury,rgainsbury7a@utexas.edu,China
264,831.15,3/11/2021,Asia,Direct sales,882,Roddy Normanton,rnormanton7b@marketwatch.com,United States
265,2305.03,9/23/2021,South America,Online,128,Alvis Sandey,asandey7c@aol.com,China
266,162.85,2/10/2021,South America,Direct sales,341,Gorden McRae,gmcrae7d@mapquest.com,China
267,3450.82,4/28/2021,Africa,In-store,596,Shirlene Staries,sstaries7e@accuweather.com,Armenia
268,5020.87,9/1/2021,North America,In-store,813,Trace Melloi,tmelloi7f@fastcompany.com,Philippines
269,6965.07,1/16/2021,Asia,In-store,358,Toma Brevitt,tbrevitt7g@booking.com,China
270,7617.74,8/12/2021,Europe,Online,953,Feodor Masurel,fmasurel7h@wix.com,Chad
